grantNumber,sourcePmid,note
K99HL163443,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
UG3TR003279,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
R01HL150693,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
UH3HL141798,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
R01HL126527,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
R01HL141371,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
UH3TR002588,35679369,Thomas D et al. Cellular and Engineered Organoids for Cardiovascular Models. Circ Res 2022. (COIN)
P01HD093363,39486145,Wells JM et al. Exploring optimal protocols for glucose-responsive insulin-secreting progenitor cells. Eur J Cell Biol 2024. (CANDOR)
T32CA285274,39486145,Wells JM et al. Exploring optimal protocols for glucose-responsive insulin-secreting progenitor cells. Eur J Cell Biol 2024. (CANDOR)
UH3DK119982,39486145,Wells JM et al. Exploring optimal protocols for glucose-responsive insulin-secreting progenitor cells. Eur J Cell Biol 2024. (CANDOR)
P30DK078392,39486145,Wells JM et al. Exploring optimal protocols for glucose-responsive insulin-secreting progenitor cells. Eur J Cell Biol 2024. (CANDOR)
U19AI116491,39486145,Wells JM et al. Exploring optimal protocols for glucose-responsive insulin-secreting progenitor cells. Eur J Cell Biol 2024. (CANDOR)
UG3DK119982,32586439,Shacham-Silverberg V Wells JM. Generation of esophageal organoids and organotypic raft cultures. Methods Cell Biol 2020. (CANDOR)
P42ES027704,41997412,Rusyn I et al. Human vs. cells vs. machine. Regul Toxicol Pharmacol 2026. (NDC)
P30ES029067,41997412,Rusyn I et al. Human vs. cells vs. machine. Regul Toxicol Pharmacol 2026. (NDC)
T32ES026568,41997412,Rusyn I et al. Human vs. cells vs. machine. Regul Toxicol Pharmacol 2026. (NDC)
